,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost,review,menu_item,type,city
313,1,0,3.3,128,1,62,2565,1192,300,13916,1846,4,1
314,0,0,4.1,94,1,62,1647,1543,100,13263,5004,4,1
315,0,0,3.7,65,1,62,3378,871,300,5403,5004,4,1
316,0,0,3.5,52,1,62,4236,1543,300,8140,5004,4,1
317,1,0,3.0,290,1,62,1095,1211,450,2420,62,4,1
318,1,0,3.7,59,1,62,3459,1447,200,672,5004,4,1
319,0,0,3.7,130,1,62,1705,1543,200,2109,5004,4,1
320,1,0,3.5,80,1,62,4135,1666,250,2202,4225,4,1
321,1,0,3.9,441,1,62,257,1588,400,10477,1992,4,1
322,1,0,3.6,84,1,62,1644,1585,250,3322,733,4,1
323,0,0,4.0,42,1,62,920,1611,300,5183,5004,4,1
324,1,0,3.0,213,1,62,3133,1424,400,1114,4326,4,1
325,0,0,4.2,725,30,62,3010,1548,350,8806,5004,4,1
326,1,0,3.9,750,4,20,1704,1273,500,9454,3283,4,1
327,0,0,3.8,166,4,20,3382,1402,600,9698,5004,4,1
328,0,0,4.4,4460,4,62,2030,1543,150,13404,5004,4,1
329,0,0,3.9,153,4,20,1774,1543,350,10365,5004,4,1
330,1,0,3.8,469,4,20,2776,1204,750,8598,1766,4,1
331,1,0,4.1,364,4,20,2728,1562,550,8685,4701,4,1
332,1,0,3.8,286,4,20,3263,1152,600,3251,3530,4,1
333,1,0,3.8,527,4,20,2700,1152,500,13353,406,4,1
334,1,0,3.9,101,4,62,4702,1543,150,9374,3856,4,1
335,1,0,4.1,558,4,62,246,1543,150,8453,5004,4,1
336,0,0,3.8,148,4,22,3507,1190,550,12788,5004,4,1
337,0,0,2.7,377,4,57,4825,1288,1100,8216,5004,4,1
338,0,0,3.9,206,4,62,1005,1581,450,10232,5004,4,1
339,0,0,3.9,100,4,62,1713,1585,300,5843,5004,4,1
340,1,0,4.2,444,4,62,4703,1543,100,2132,3859,4,1
341,0,0,3.9,133,4,20,1266,975,650,3899,5004,4,1
342,1,0,4.0,219,4,13,3798,453,600,5788,4769,4,1
343,0,0,4.2,253,4,62,2467,1543,250,9692,5004,4,1
