,book_table,votes,location,rest_type,dish_liked,cuisines,cost,review,rate
487,0,321,28,62,4600,1237,400,2426,2.5
488,0,362,0,20,2581,1152,600,9042,3.9
489,1,2166,28,60,1546,10,1200,13701,4.2
490,0,182,28,69,4058,1117,400,10829,4.0
491,1,500,3,20,369,1433,1000,3630,3.8
492,0,532,3,20,1053,608,800,6000,4.0
493,1,551,3,20,2445,1232,600,10636,3.5
494,0,421,3,20,1175,602,700,10623,4.2
495,0,662,28,20,2070,199,650,5230,3.7
496,0,54,3,62,1061,298,500,798,3.8
497,0,92,0,62,2905,535,300,7340,4.1
498,0,36,28,29,962,280,600,5800,3.7
499,0,2350,28,20,1927,1152,800,12828,4.2
500,0,49,3,13,1947,330,600,4546,3.9
501,0,184,0,62,4155,856,400,725,3.7
502,1,225,3,20,1232,284,700,1853,3.6
503,0,35,0,32,2695,773,300,11189,4.0
504,0,869,0,29,4748,248,500,5960,4.0
505,0,153,28,62,4368,1633,200,4341,4.0
506,0,139,3,62,2654,1264,400,10247,3.7
507,0,181,3,29,257,280,500,4475,3.7
508,0,669,0,20,2556,1152,500,2943,3.9
509,0,168,3,62,4708,1106,600,12695,3.7
510,0,170,3,62,794,1252,250,13461,3.8
511,0,112,28,62,921,1645,200,6070,4.0
512,0,58,0,62,3053,201,300,3977,3.8
513,0,167,30,62,4943,1585,400,9420,4.0
514,0,85,28,62,4848,1486,300,7647,3.9
515,0,473,0,62,3736,998,600,76,2.6
516,0,217,28,20,2708,1419,500,4843,3.7
517,0,192,0,29,1201,914,450,9549,3.6
518,1,611,0,21,278,139,1500,2962,4.2
519,0,166,3,29,957,1461,750,12387,4.0
520,0,46,28,13,3640,500,600,10340,4.1
521,1,2233,3,21,3784,742,1200,3199,4.4
522,0,107,0,62,3482,1152,300,12393,4.0
523,0,306,0,29,58,1041,600,3906,4.2
524,1,756,28,20,2576,1152,1000,9107,3.8
525,1,4309,28,52,3946,623,1600,12540,4.4
526,0,212,3,62,3447,1152,400,13769,4.0
527,0,153,3,62,2790,195,600,1652,2.9
528,0,827,0,20,797,1486,500,5712,4.0
529,0,256,3,62,598,320,500,10739,4.0
530,0,40,3,41,5043,440,400,2686,3.9
531,0,73,3,72,3966,1574,400,10669,3.9
532,0,169,28,13,5050,359,600,9859,4.2
533,0,586,28,20,2893,556,700,11821,4.1
534,0,221,0,70,843,1115,400,3356,3.5
535,0,177,0,62,2080,201,500,223,3.5
536,0,347,28,20,3203,607,600,2955,3.9
537,0,347,3,62,3799,1470,800,836,3.0
538,0,385,28,62,4926,1472,600,8277,3.9
539,0,1305,28,20,2102,623,750,8159,4.0
540,0,122,3,20,3144,607,500,1668,3.0
541,0,539,28,62,3174,615,300,13428,4.3
542,1,681,3,20,1471,1270,800,12584,3.9
543,0,106,28,29,3037,304,350,962,3.8
544,1,1025,3,20,1240,1152,1000,12452,4.1
545,0,132,3,12,2216,1648,250,748,3.6
546,0,289,3,62,500,6,400,5340,4.2
547,0,407,28,20,2538,1192,500,5509,3.9
548,0,201,3,62,3439,1192,250,97,3.9
549,0,37,3,13,4894,357,400,4547,3.7
550,0,203,28,65,602,364,650,8380,4.1
551,0,320,28,20,2032,1380,600,1661,3.1
552,1,257,3,20,2049,72,800,9902,3.8
553,0,46,28,62,3802,1461,450,6057,3.8
554,0,102,3,13,693,350,450,13047,3.9
555,1,237,28,22,536,347,600,12744,4.2
556,0,108,3,62,4546,1080,600,1557,3.7
557,0,34,28,20,4499,1087,750,10431,3.9
558,0,144,3,62,970,1214,350,858,3.2
559,1,1028,28,21,4538,612,1100,2372,4.2
560,0,84,3,29,1042,37,600,2343,3.8
561,0,181,28,20,1924,1210,550,11346,4.0
562,0,128,0,30,2381,945,230,11919,4.0
563,0,171,28,62,17,1152,250,12020,3.8
564,0,200,28,62,4554,1083,400,8973,3.9
